nome,palestra,data
Darllan Neves da Rocha,Ciência para a redução da desigualdade por meio da educação cooperativa,19 de novembro de 2018
Joani de Melo Muniz,"Educação, diversidade e inclusão no cenário contemporâneo",20 de novembro de 2018
Sanierlly Nascimento,Dicas para apresentação de trabalhos acadêmicos,20 de novembro de 2018
Pedro de Almeida Soares,Os desafios do eSocial,20 de novembro de 2018
Olisangele Cristine Duarte Bonifácio Dantas,A inclusão do aluno com deficiência na escola regular,20 de novembro de 2018
André Luiz da Silva,Uso de drone na gestão ambiental,20 de novembro de 2018
Rivaldo Junior,Hidroponia,21 de novembro de 2018
Alexandre José,Extensão rural e práticas agroecológicas,21 de novembro de 2018
Ligiane Marinho,Inclusão digital para pessoas com deficiência visual,21 de novembro de 2018
Silvana Alves dos Santos,Tecnologias ambientais como perspectiva da preservação ao meio ambiente,22 de novembro de 2018
Italo Xavier Queiroz,Tensoativos: o composto “secreto” da indústria química,22 de novembro de 2018
Normando Perazzo Barbosa,Materiais de construção e sustentabilidade,22 de novembro de 2018
Polyane Andrade Batista Lira,Ensino de Libras: formando uma escola acessível,22 de novembro de 2018
Eduardo de Santana Medeiros Alexandre,Assistentes virtuais: auxiliando nossas vidas,22 de novembro de 2018
Klebson Felismino Bernardo,Descomplica TCC,20 de novembro de 2018
Joana Ferreira de Araújo,Descomplica TCC,20 de novembro de 2018
Sildo Alves de Morais,Cadastrando um imóvel rural: o CAR e o PRA como instrumento de preservação ambiental,21 de novembro de 2018
Adriano Magno da Silva Fernandes,Cadastrando um imóvel rural: o CAR e o PRA como instrumento de preservação ambiental,21 de novembro de 2018
